Author	Title	Tool: label	Tool: score	Szepes-Szerdahelyi	Comment
Arany János	A RAB GÓLYA	trochaic	0.69	trochaic	
Arany János	TOLDI	trochaic	0.57	trochaic	
Babits Mihály	Páris	trochaic	0.71	trochaic	
Babits Mihály	A Danaidák	trochaic	0.51	trochaic	
Verseghy Ferenc	A’ Válogató.	trochaic	0.68	trochaic	
Fazekas Mihály	Nyári esti dal	trochaic	0.88	trochaic	
Kazinczy Ferenc	BOR MELLETT	trochaic	0.73	trochaic	
Bajza József	ISTEN HOZZÁD.	trochaic	0.81	trochaic	
Csokonai Vitéz Mihály	Az estvéhez [2]	trochaic	0.94	trochaic	
Bajza József	AZ APÁCA.	trochaic	0.92	trochaic	
Csokonai Vitéz Mihály	A reményhez	trochaic	0.78	trochaic	
József Attila	SZÁRADOK, TÖRŐDÖM	trochaic	0.73	trochaic	
Kölcsey Ferenc	CSOLNAKON	trochaic	0.49	trochaic	(Book: “harmadik epitritusokkal állította párba a teljes sort” (272) – that is, only every second line is trochaic according to the book.)
Petőfi Sándor	ELSŐ SZERELEM	trochaic	0.84	trochaic	
Vörösmarty Mihály	HEDVIG	trochaic	0.86	trochaic	
Verseghy Ferenc	Lilla.	anapestic	0.31	anapestic	
Földi János	Halotti Vers, edgy gyenge szülött temetésére 1781-ben.	anapestic	0.66	anapestic	
Csokonai Vitéz Mihály	Édes keserűség	anapestic	0.71	anapestic	
Petőfi Sándor	TEMETŐBEN	anapestic	0.55	anapestic	
Petőfi Sándor	FORRADALOM	anapestic	0.9	anapestic	
Kosztolányi Dezső	Boldog, szomorú dal	anapestic	0.51	anapestic	
József Attila	HA A HOLD SÜT...	anapestic	0.8	anapestic	
Arany János	„A TÖLGYEK ALATT”	anapestic	0.42	anapestic	
Arany János	A TÖLGYEK ALATT	anapestic	0.39	anapestic	
Babits Mihály	Mozgófénykép	anapestic	0.41	anapestic	
Garay János	A VÉSZ SZELLEME.	trochaic	0.41	anapestic	"Book: “A vész című költeményének anapesztikus versszakai jambikus sorral zárulnak” (""The anapestic stanzas of the poem A vész end with an iambic line.”) (283) – besides this, the tool cannot analyze the poem well because it takes the “a” articles as short syllables."
Csokonai Vitéz Mihály	Keserédes	iambic	0.83	iambic	
Csokonai Vitéz Mihály	A Hafíz sírhalma	iambic	0.76	iambic	
Juhász Gyula	Anakreoni dal [1]	iambic	0.77	iambic	
József Attila	MUNKÁSOK	iambic	0.49	iambic	
Ady Endre	TALÁN HELLÁSZ KÜLDÖTT	iambic	0.45	iambic	
Petőfi Sándor	MI KÉK AZ ÉG!	iambic	0.86	iambic	
József Attila	[SZÜRKÜLET]	iambic	0.72	iambic	
Babits Mihály	Jónás könyve	iambic	0.62	iambic	
József Attila	THOMAS MANN ÜDVÖZLÉSE	iambic	0.55	iambic	
Vajda János	Húsz év mulva	iambic	0.79	iambic	
Petőfi Sándor	VÉRES NAPOKRÓL ÁLMODOM...	iambic	0.7	iambic	
Garay János	KONT.	iambic	0.81	iambic	
Arany János	A WALESI BÁRDOK	iambic	0.75	iambic	
Arany János	V. LÁSZLÓ	iambic	0.78	iambic	
Juhász Gyula	Szüzek	iambic	0.78	iambic	
Babits Mihály	Szíttál-e lassú mérgeket?	iambic	0.67	iambic	
Arany János	CSABA TRILÓGIA [1]	trochaic	0.39	iambic	Caesura at three and a half feet
Tóth Árpád	ŐSZI KÉRDÉS	trochaic	0.28	iambic	Caesura at three and a half feet
Babits Mihály	LAODAMEIA	iambic	0.45	iambic	
Petőfi Sándor	SALGÓ	iambic	0.76	iambic	
Ady Endre	A GARE DE L’ESTEN	iambic	0.35	iambic	The book cites the poem as an example that in certain cases, it replaces the iamb with an anapaest.
József Attila	A VÁROS PEREMÉN	iambic	0.42	iambic	The book cites the poem as an example that in certain cases, it replaces the iamb with an anapaest.
Arany János	SZÉCHENYI EMLÉKEZETE	iambic	0.76	iambic	
Virág Benedek	HELMECZI MIHÁLYNAK [2]	dactylic	0.49	dactylic	hexameter
Csokonai Vitéz Mihály	A békesség és a hadi érdem	trochaic	0.41	dactylic	hexameter
Fazekas Mihály	Lúdas Matyi	dactylic	0.43	dactylic	hexameter
Vörösmarty Mihály	Zalán futása	dactylic	0.45	dactylic	hexameter
Vörösmarty Mihály	EGER	dactylic	0.46	dactylic	hexameter
Vörösmarty Mihály	CSERHALOM	dactylic	0.44	dactylic	hexameter
Garay János	CSATÁR-BÓL.	dactylic	0.4	dactylic	hexameter
Arany János	AZ ELVESZETT ALKOTMÁNY	dactylic	0.54	dactylic	hexameter
Dsida Jenő	Kóborló délután kedves kutyámmal	dactylic	0.78	dactylic	hexameter
Petőfi Sándor	JÁTSZIK ÖREG FÖLDÜNK...	dactylic	0.46	dactylic	hexameter
Radnóti Miklós	ELSŐ ECLOGA	dactylic	0.79	dactylic	hexameter
Petőfi Sándor	LEVÉL ARANY JÁNOSHOZ	dactylic	0.4	dactylic	hexameter
Babits Mihály	Klasszikus álmok...	dactylic	0.52	dactylic	hexameter
Virág Benedek	CSEHINEK	dactylic	0.61	dactylic	
Juhász Gyula	Ovid tavaszdala	dactylic	0.64	dactylic	pentameter
